,Accuracy,Image,Set,Experiment
179,0.9885057471264368,10257,val,3
180,1.0,10261,val,3
181,1.0,10279,val,3
182,0.8127090301003345,10285,val,3
183,0.9598765432098766,10288,val,3
184,1.0,10300,val,3
185,0.8270440251572327,10302,val,3
186,1.0,10307,val,3
187,1.0,10310,val,3
188,0.8704318936877077,10311,val,3
189,1.0,10312,val,3
190,0.9883720930232558,10319,val,3
191,0.8263888888888888,10340,val,3
192,0.993103448275862,10355,val,3
193,0.9938271604938271,10360,val,3
194,0.9736842105263158,10383,val,3
195,0.9629629629629629,10395,val,3
196,0.6332046332046332,10422,val,3
197,1.0,10426,val,3
198,0.8487654320987654,10428,val,3
199,0.6604938271604939,10429,val,3
200,1.0,10434,val,3
201,0.9965753424657534,10441,val,3
202,1.0,10442,val,3
203,0.993127147766323,10448,val,3
204,0.9735849056603774,10450,val,3
205,0.9228395061728395,10457,val,3
206,1.0,10487,val,3
207,1.0,10500,val,3
208,0.7674418604651163,10511,val,3
209,0.7926829268292683,10514,val,3
210,0.9191489361702128,10518,val,3
211,1.0,10522,val,3
212,0.9722222222222222,10524,val,3
213,0.7716049382716049,10527,val,3
214,0.9722222222222222,10538,val,3
215,0.5867158671586716,10550,val,3
216,0.9892086330935251,10558,val,3
217,0.9907407407407407,10559,val,3
218,0.9933993399339934,10562,val,3
219,1.0,10564,val,3
220,0.8892988929889298,10569,val,3
221,0.8725099601593626,10573,val,3
222,0.9395017793594306,10574,val,3
223,0.8041666666666667,10604,val,3
224,1.0,10605,val,3
225,1.0,10607,val,3
226,0.9012345679012346,10608,val,3
227,0.14893617021276595,10614,val,3
228,0.7962962962962963,10627,val,3
229,0.9475308641975309,10628,val,3
230,0.8943396226415095,10636,val,3
231,0.9104938271604939,10638,val,3
232,0.8867313915857605,10649,val,3
233,1.0,10655,val,3
234,1.0,10657,val,3
235,0.8508064516129032,10661,val,3
236,0.9852941176470589,10665,val,3
237,0.9965397923875432,10671,val,3
238,1.0,10672,val,3
239,0.9807692307692307,10688,val,3
240,0.8690476190476191,10689,val,3
241,0.99375,10691,val,3
242,0.7345679012345679,10693,val,3
243,0.808,10703,val,3
244,1.0,10706,val,3
245,0.9805194805194806,10713,val,3
246,0.9104938271604939,10718,val,3
247,0.9753521126760564,10722,val,3
248,0.9063545150501672,10738,val,3
249,1.0,10740,val,3
250,0.9691358024691358,10751,val,3
251,0.9576923076923077,10757,val,3
252,0.9753521126760564,10758,val,3
253,1.0,10777,val,3
254,0.9846743295019157,10795,val,3
255,0.8354430379746836,10815,val,3
256,0.9804560260586319,10821,val,3
257,0.9382716049382716,10826,val,3
258,0.9814814814814815,10877,val,3
259,1.0,10887,val,3
