,Accuracy,Image,Set,Experiment
402,1.0,2682,val,4
403,1.0,2685,val,4
404,1.0,2686,val,4
405,0.88,2690,val,4
406,1.0,2711,val,4
407,1.0,2712,val,4
408,1.0,2729,val,4
409,1.0,2730,val,4
410,1.0,2735,val,4
411,1.0,2743,val,4
412,1.0,2747,val,4
413,1.0,2757,val,4
414,1.0,2773,val,4
415,1.0,2788,val,4
416,1.0,2791,val,4
417,1.0,2798,val,4
418,1.0,2804,val,4
419,1.0,2808,val,4
420,1.0,2816,val,4
421,1.0,2824,val,4
422,1.0,2837,val,4
423,1.0,2842,val,4
424,1.0,2850,val,4
425,1.0,2851,val,4
426,1.0,2852,val,4
427,1.0,2869,val,4
428,1.0,2885,val,4
429,1.0,2903,val,4
430,1.0,2906,val,4
431,1.0,2908,val,4
432,1.0,2912,val,4
433,1.0,2925,val,4
434,0.92,2927,val,4
435,0.92,2930,val,4
436,1.0,2931,val,4
437,1.0,2935,val,4
438,1.0,2936,val,4
439,1.0,2938,val,4
440,1.0,2943,val,4
441,1.0,2960,val,4
442,1.0,2963,val,4
443,1.0,2969,val,4
444,1.0,2971,val,4
445,1.0,3002,val,4
446,1.0,3007,val,4
447,1.0,3013,val,4
448,1.0,3019,val,4
449,1.0,3022,val,4
450,1.0,3029,val,4
451,1.0,3030,val,4
452,1.0,3032,val,4
453,1.0,3034,val,4
454,1.0,3039,val,4
455,0.92,3044,val,4
456,1.0,3047,val,4
457,0.92,3049,val,4
458,1.0,3053,val,4
459,0.92,3054,val,4
460,1.0,3057,val,4
461,1.0,3062,val,4
462,1.0,3069,val,4
463,1.0,3074,val,4
464,1.0,3087,val,4
465,1.0,3091,val,4
466,1.0,3123,val,4
467,1.0,3126,val,4
468,1.0,3128,val,4
469,1.0,3130,val,4
470,1.0,3135,val,4
471,1.0,3137,val,4
472,1.0,3150,val,4
473,1.0,3164,val,4
474,0.92,3170,val,4
475,1.0,3176,val,4
476,1.0,3180,val,4
477,1.0,3181,val,4
478,1.0,3188,val,4
479,0.92,3206,val,4
480,1.0,3212,val,4
481,1.0,3216,val,4
482,1.0,3218,val,4
483,1.0,3221,val,4
484,1.0,3232,val,4
485,1.0,3237,val,4
486,1.0,3242,val,4
487,1.0,3249,val,4
488,1.0,3252,val,4
489,1.0,3257,val,4
490,1.0,3264,val,4
491,1.0,3265,val,4
492,1.0,3270,val,4
493,1.0,3272,val,4
494,1.0,3277,val,4
495,1.0,3285,val,4
496,1.0,3298,val,4
497,1.0,3303,val,4
498,1.0,3308,val,4
499,1.0,3309,val,4
