epoch,loss,val_loss,item
8,32.9382299139386,53.3336187309689,SIMPLEN
9,31.1455487432934,42.6666198253632,SIMPLEN
10,26.8525499775296,51.731821902593,SIMPLEN
11,25.272555188338,33.6131765047709,SIMPLEN
12,23.7660061881656,33.4662701076931,SIMPLEN
13,18.5519978333087,34.4305973741743,SIMPLEN
14,17.5580066309089,32.8618896404902,SIMPLEN
15,14.4607698153882,27.47973607911,SIMPLEN
16,14.3648720636254,28.0372001197603,SIMPLEN
17,12.7498580509708,27.2084977613555,SIMPLEN
18,11.2304101821922,26.7114262792799,SIMPLEN
19,9.79009708208697,23.8608858121766,SIMPLEN
20,9.23980226474149,31.2716533025106,SIMPLEN
21,8.30097405484744,29.7952454619937,SIMPLEN
22,7.90135270357132,25.0623567236794,SIMPLEN
