,MAED,Set,Image
99,0.9485639333724976,val,747
100,0.28059378266334534,val,749
101,0.32890424132347107,val,752
102,0.16093894839286804,val,753
103,1.3490923643112183,val,754
104,0.26754382252693176,val,764
105,0.18451032042503357,val,769
106,0.24200934171676636,val,773
107,0.1886810064315796,val,799
108,0.6924722194671631,val,800
109,0.3185284733772278,val,808
110,0.23747661709785461,val,815
111,0.8431637287139893,val,843
112,0.5901720523834229,val,848
113,0.5785207748413086,val,850
114,1.566918969154358,val,857
115,0.2308264970779419,val,859
116,0.1525692492723465,val,866
117,0.32194530963897705,val,870
118,0.2514673173427582,val,882
119,1.018344521522522,val,889
120,1.9834731817245483,val,892
121,0.2875444293022156,val,894
122,0.7319154143333435,val,895
123,0.4981357455253601,val,901
124,0.13855624198913574,val,911
125,0.13246379792690277,val,925
126,0.9831098318099976,val,926
127,0.776660144329071,val,930
128,1.8982315063476562,val,933
129,0.2240096926689148,val,957
130,0.4879763722419739,val,972
131,0.2673165500164032,val,975
132,0.5260377526283264,val,977
133,0.667650043964386,val,982
134,0.30225759744644165,val,984
135,0.2725865840911865,val,987
136,0.935987114906311,val,994
137,0.1468694508075714,val,999
138,0.40194934606552124,val,1008
139,0.14670000970363617,val,1009
140,0.2512226998806,val,1024
141,1.0141994953155518,val,1027
142,0.3278428018093109,val,1028
143,0.9018961191177368,val,1034
144,0.2705584764480591,val,1036
145,0.45275551080703735,val,1043
146,0.4581865668296814,val,1045
147,0.5886009931564331,val,1048
148,0.2339106798171997,val,1061
149,0.7930355668067932,val,1062
150,7.083697319030762,val,1070
151,0.33049896359443665,val,1080
152,0.3331809341907501,val,1084
153,0.20918312668800354,val,1085
154,2.466732978820801,val,1098
155,0.8258394002914429,val,1101
156,2.31803035736084,val,1126
157,1.1080937385559082,val,1132
158,0.09562437236309052,val,1134
159,0.11128844320774078,val,1153
160,0.09987729787826538,val,1157
161,0.4776305854320526,val,1158
162,1.0422450304031372,val,1159
163,0.9962596297264099,val,1162
164,0.2287498265504837,val,1176
165,1.3442413806915283,val,1178
166,0.129036545753479,val,1183
167,3.903372287750244,val,1184
168,0.32094767689704895,val,1190
169,0.8391669392585754,val,1194
170,3.5828399658203125,val,1199
171,0.5944690704345703,val,1202
