,MAED,Set,Image
115,0.8179076313972473,val,738
116,5.493889331817627,val,742
117,3.675548791885376,val,747
118,1.6861625909805298,val,751
119,0.9505547285079956,val,753
120,0.23378749191761017,val,766
121,0.1936662346124649,val,774
122,0.23091787099838257,val,775
123,1.85817289352417,val,777
124,0.3679802417755127,val,782
125,0.07994250953197479,val,784
126,1.735014796257019,val,795
127,4.94581937789917,val,798
128,0.14926786720752716,val,799
129,0.07994250953197479,val,801
130,4.929847717285156,val,802
131,0.16069038212299347,val,811
132,0.18255828320980072,val,812
133,0.167948916554451,val,821
134,0.3468483090400696,val,828
135,0.14486879110336304,val,833
136,2.3634536266326904,val,836
137,4.699204921722412,val,837
138,4.41253137588501,val,843
139,5.616947174072266,val,852
140,0.17609663307666779,val,854
141,0.25268831849098206,val,856
142,3.6066219806671143,val,866
143,2.8411407470703125,val,870
144,0.32737380266189575,val,874
145,1.8067257404327393,val,875
146,2.117748498916626,val,893
147,0.19262365996837616,val,907
148,1.9818264245986938,val,924
149,0.29731979966163635,val,933
150,0.18653106689453125,val,935
151,4.113378524780273,val,938
152,3.707879066467285,val,939
153,5.343034744262695,val,940
154,4.116613388061523,val,941
155,0.22285981476306915,val,947
156,0.1607242077589035,val,951
157,2.1394801139831543,val,960
158,2.6442461013793945,val,967
159,4.9464850425720215,val,972
160,0.13297457993030548,val,976
161,3.552889108657837,val,1017
162,7.469024181365967,val,1029
163,1.6864466667175293,val,1045
164,0.19192008674144745,val,1046
165,9.648799896240234,val,1054
166,0.18582859635353088,val,1073
167,4.3555378913879395,val,1078
168,0.11980535835027695,val,1091
169,4.426516056060791,val,1093
170,2.8012161254882812,val,1098
171,2.571023464202881,val,1099
172,4.9871954917907715,val,1102
173,0.21600934863090515,val,1104
174,0.1590455025434494,val,1109
175,4.587335109710693,val,1117
176,2.5001227855682373,val,1129
177,4.825356960296631,val,1135
178,4.422367572784424,val,1136
179,1.2512296438217163,val,1146
180,8.265419006347656,val,1163
181,0.13886751234531403,val,1165
182,4.093153476715088,val,1177
183,1.1258727312088013,val,1185
184,4.51953125,val,1200
185,0.21626423299312592,val,1206
186,6.120626449584961,val,1208
187,3.5819251537323,val,1210
188,1.1812784671783447,val,1222
189,0.21558712422847748,val,1225
190,0.14640851318836212,val,1228
191,4.120811939239502,val,1232
192,4.227276802062988,val,1241
193,1.9840267896652222,val,1249
194,3.9383161067962646,val,1250
195,2.854424476623535,val,1266
196,2.720953941345215,val,1275
197,2.7859737873077393,val,1289
198,1.2373318672180176,val,1302
199,4.775121212005615,val,1307
200,3.8958826065063477,val,1316
201,3.7027997970581055,val,1317
202,4.904839992523193,val,1329
203,2.4656193256378174,val,1338
204,0.14928168058395386,val,1343
205,3.7596378326416016,val,1353
206,6.003139495849609,val,1355
207,3.4099512100219727,val,1358
208,0.37630799412727356,val,1380
209,5.092273712158203,val,1385
210,1.5788666009902954,val,1395
211,0.21420125663280487,val,1396
212,0.23687225580215454,val,1410
213,5.537049770355225,val,1415
214,1.8274548053741455,val,1416
215,0.1681450605392456,val,1418
216,0.1573466658592224,val,1422
217,5.144677639007568,val,1425
218,3.442736864089966,val,1436
219,4.856558322906494,val,1443
220,4.397610664367676,val,1444
221,2.4207584857940674,val,1445
